time,position,velocity,accel x,accel y,accel z,mag x, mag y,mag z,gyro x,gyro y,gyro z
10.47,5.335172206,1.246924911,0.029663086,-0.226928711,-0.974975586,-0.270263672,-0.377563477,-0.001281738,2.96081543,6.138458252,2.84866333
10.497,5.488297664,1.246924911,0.21472168,-0.158325195,-1.55065918,-0.209289551,-0.386352539,-0.047363281,2.564544678,7.050628662,3.820648193
10.548,5.786736056,1.246924911,-0.16003418,-0.086914063,-1.156860352,-0.088439941,-0.420471191,-0.026489258,1.884155273,5.65246582,3.409423828
10.602,6.101580748,1.246924911,0.122680664,-0.181152344,-0.958129883,0.034240723,-0.329467773,-0.20489502,4.575805664,5.046844482,3.170166016
10.659,6.432831739,1.246924911,-0.19519043,-0.123168945,-1.407592773,-0.034851074,-0.289001465,-0.445007324,3.117828369,6.228179932,1.585083008
10.728,6.827364169,1.246924911,0.00390625,0.069213867,-0.836669922,-0.287841797,-0.287658691,-0.556030273,4.074859619,6.960906982,1.644897461
10.8,7.23908415,1.246924911,-0.107910156,-0.127929688,-0.640991211,-0.194519043,-0.324157715,-0.391296387,2.586975098,5.936584473,2.788848877
10.852,7.540647552,1.246924911,-0.014526367,0.069702148,-1.048461914,-0.152893066,-0.308166504,-0.571044922,1.749572754,6.273040771,1.480407715
10.903,7.828929664,1.246924911,-0.060913086,-0.257324219,-1.187988281,-0.433288574,-0.338989258,-0.773254395,1.570129395,7.073059082,0.97946167
10.954,8.12189929,1.246924911,-0.051513672,-0.102783203,-1.491333008,-0.466369629,-0.397644043,-0.422912598,2.243041992,7.155303955,2.0262146
11.014,8.4594003,1.246924911,-0.029296875,-0.330200195,-0.923706055,-0.30871582,-0.383789063,-0.182128906,2.878570557,5.360870361,1.211242676
11.133,9.1281523,1.246924911,-0.014404297,0.2109375,-1.032714844,-0.011291504,-0.374572754,-0.20300293,5.016937256,6.58706665,1.323394775
11.159,9.274246487,1.246924911,-0.168212891,-0.030761719,-1.09777832,-0.015075684,-0.398620605,-0.266113281,4.74029541,7.117919922,0.717773438
11.205,9.53284101,1.246924911,-0.143066406,-0.140869141,-1.156982422,-0.175354004,-0.434204102,-0.469787598,3.970184326,5.936584473,1.689758301
11.261,9.84377944,1.246924911,-0.01574707,-0.112182617,-0.883178711,-0.151611328,-0.399291992,-0.401611328,4.052429199,6.826324463,2.265472412
11.366,10.42581243,1.246924911,-0.225830078,0.036499023,-1.01953125,-0.151245117,-0.332092285,-0.366638184,1.77947998,7.499237061,1.031799316
